tokenized_text,no_stopwords
"['saya', 'tidak', 'bisa', 'login', 'dan', 'kode', 'otp', 'tdk', 'terkirim', 'baik', 'melalui', 'sms', 'memang', 'ditlp', 'tpi', 'cs', 'membisu', 'tdk', 'ksi', 'kode', 'otp', 'sehingga', 'sy', 'tdk', 'bisa', 'login', 'saya', 'kirain', 'tidak', 'ada', 'pulsa', 'maka', 'tdk', 'dikrim', 'kode', 'otp', 'umsk', 'sms', 'kode', 'otp', 'tahunya', 'memang', 'tidak', 'bisa', 'msk', 'itu', 'kode', 'otp', 'dan', 'ditlp', 'mlah', 'tdk', 'ada', 'bicra', 'apa', 'itu', 'cs', 'maxim']","['login', 'kode', 'otp', 'tdk', 'terkirim', 'baik', 'melalui', 'sms', 'memang', 'ditlp', 'tpi', 'cs', 'membisu', 'tdk', 'ksi', 'kode', 'otp', 'sy', 'tdk', 'login', 'kirain', 'pulsa', 'tdk', 'dikrim', 'kode', 'otp', 'umsk', 'sms', 'kode', 'otp', 'tahunya', 'memang', 'msk', 'kode', 'otp', 'ditlp', 'mlah', 'tdk', 'bicra', 'apa', 'cs', 'maxim']"
"['agak', 'kapoktakut', 'buat', 'pesan', 'maxim', 'lagi', 'dapet', 'pengalaman', 'yang', 'bawa', 'motornya', 'ugal', 'ugalan', 'parah', 'dia', 'ga', 'mikir', 'sama', 'sekali', 'kalo', 'dia', 'bawa', 'nyawa', 'penumpang', 'dan', 'bawa', 'nama', 'yaitu', 'maxim', 'gara', 'gara', 'satu', 'org', 'ini', 'bisa', 'jelek', 'nama', 'maxim', 'udah', 'laporin', 'ke', 'pihak', 'maxim', 'tapi', 'belum', 'ada', 'tanggapan', 'terima', 'kasih', 'untuk', 'tidak', 'pakai', 'maxim', 'lagi', 'akan', 'terus', 'terkenang', 'kejadian', 'ini', 'akan', 'lebih', 'baik', 'lagi', 'saya', 'uninstal']","['kapoktakut', 'buat', 'pesan', 'maxim', 'dapet', 'pengalaman', 'bawa', 'motornya', 'ugal', 'ugalan', 'parah', 'ga', 'mikir', 'sama', 'sekali', 'kalo', 'bawa', 'nyawa', 'penumpang', 'bawa', 'nama', 'maxim', 'gara', 'gara', 'satu', 'org', 'jelek', 'nama', 'maxim', 'udah', 'laporin', 'pihak', 'maxim', 'tanggapan', 'terima', 'kasih', 'pakai', 'maxim', 'terus', 'terkenang', 'kejadian', 'lebih', 'baik', 'uninstal']"
"['tolong', 'dong', 'driver', 'atas', 'nama', 'muhammad', 'taufik', 'hidayat', 'suru', 'tf', 'balik', 'uang', 'saya', 'dibawa', 'kabur', 'sm', 'dia', 'bukan', 'masalah', 'nominal', 'tp', 'kejujuran', 'nya', 'pakkkk', 'dia', 'blg', 'mau', 'tf', 'balik', 'tp', 'wa', 'saya', 'di', 'blokir', 'sama', 'dia', 'tolongg', 'dong', 'pihakkkk', 'maxim', 'kondisikan', 'drivernya', 'hati', 'sama', 'plat', 'nomornya', 'b', 'pne']","['dong', 'driver', 'atas', 'nama', 'muhammad', 'taufik', 'hidayat', 'suru', 'tf', 'balik', 'uang', 'dibawa', 'kabur', 'sm', 'bukan', 'masalah', 'nominal', 'tp', 'kejujuran', 'nya', 'pakkkk', 'blg', 'mau', 'tf', 'balik', 'tp', 'wa', 'blokir', 'sama', 'tolongg', 'dong', 'pihakkkk', 'maxim', 'kondisikan', 'drivernya', 'hati', 'sama', 'plat', 'nomornya', 'b', 'pne']"
['lambat'],['lambat']
"['ap', 'l', 'k', 'si', 't', 'i', 'k', 'u', 'kalo', 'ber', 'sai', 'ng', 'ya', 'n', 'se', 'ht', 'do', 'n', 'b', 'b', 'ny', 'h', 'k', 'u', 'd', 'r', 'in', 'dn', 'si', 'p', 'lka', 'si', 'b', 'b']","['ap', 'l', 'k', 'si', 't', 'i', 'k', 'u', 'kalo', 'ber', 'sai', 'ng', 'n', 'se', 'ht', 'do', 'n', 'b', 'b', 'ny', 'h', 'k', 'u', 'd', 'r', 'in', 'dn', 'si', 'p', 'lka', 'si', 'b', 'b']"
"['ajarin', 'pengemudi', 'lo', 'dengan', 'kata', 'yang', 'sopan']","['ajarin', 'pengemudi', 'lo', 'kata', 'sopan']"
"['pindah', 'ke', 'indriver', 'aja', 'lah', 'lebih', 'enak']","['pindah', 'indriver', 'aja', 'lah', 'lebih', 'enak']"
"['hoaxx', 'dapet', 'bonus', 'tapi', 'gabisa', 'di', 'pake', 'hoaxxx']","['hoaxx', 'dapet', 'bonus', 'gabisa', 'pake', 'hoaxxx']"
"['scam', 'penipu']","['scam', 'penipu']"
"['kalo', 'gk', 'bisa', 'pake', 'nomor', 'minimal', 'pake', 'google', 'geh']","['kalo', 'gk', 'pake', 'nomor', 'minimal', 'pake', 'google', 'geh']"
