content,tokenized_text,processed_text
ojek abal2 kebanyakan tipu2,"['ojek', 'abal', 'kebanyakan', 'tipu']","['ojek', 'abal', 'banyak', 'tipu']"
"Masa pesen makanan jarak ga nyampe 1km , ongkos nya sampek 300k","['masa', 'pesen', 'makanan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']","['masa', 'sen', 'makan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']"
Saya isi saldo di maxim wallet bukti transfer sudah ada tapi saldo nya gak masuk masuk mohon perbantuan nya,"['saya', 'isi', 'saldo', 'di', 'maxim', 'wallet', 'bukti', 'transfer', 'sudah', 'ada', 'tapi', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'perbantuan', 'nya']","['isi', 'saldo', 'maxim', 'wallet', 'bukti', 'transfer', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'bantu', 'nya']"
Ga bisa login,"['ga', 'bisa', 'login']","['ga', 'login']"
Lama masuk top up nya,"['lama', 'masuk', 'top', 'up', 'nya']","['lama', 'masuk', 'top', 'up', 'nya']"
"Tarif 18.800 dikasih 20.000 kaga dikasih kembalian njir, mana ga konfirmasi sama sekali 😂 pake fitur anter obat aja nunggunya 2.5 jam yang seharusnya waktu tunggu paling lama tuh 30 menit. Kacau dah. Mana map kaga update lagi, pusing kalo mau make","['tarif', 'dikasih', 'kaga', 'dikasih', 'kembalian', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'yang', 'seharusnya', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'lagi', 'pusing', 'kalo', 'mau', 'make']","['tarif', 'kasih', 'kaga', 'kasih', 'kembali', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'pusing', 'kalo', 'mau', 'make']"
Driver nya ya ampun kasar bgt...titik gak sesuai malah ngomel2 ...gila gak tuh,"['driver', 'nya', 'ya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']","['driver', 'nya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']"
"Ini kenapa apk tidak bisa ya minta kode pake no telp tapi tidak di kirim"" kode otp,padahal saya langanan maxim","['ini', 'kenapa', 'apk', 'tidak', 'bisa', 'ya', 'minta', 'kode', 'pake', 'no', 'telp', 'tapi', 'tidak', 'di', 'kirim', 'kode', 'otppadahal', 'saya', 'langanan', 'maxim']","['apk', 'minta', 'kode', 'pake', 'no', 'telp', 'kirim', 'kode', 'otppadahal', 'langanan', 'maxim']"
pelayanan sangat memuaskan..,"['pelayanan', 'sangat', 'memuaskan']","['layan', 'sangat', 'muas']"
"Penipuan dikasih saldo, saldonya ga bisa dipake","['penipuan', 'dikasih', 'saldo', 'saldonya', 'ga', 'bisa', 'dipake']","['tipu', 'kasih', 'saldo', 'saldo', 'ga', 'dipake']"
Saldonya ga bisa di pake huuuuuuu,"['saldonya', 'ga', 'bisa', 'di', 'pake', 'huuuuuuu']","['saldo', 'ga', 'pake', 'huuuuuuu']"
Gabisa di pake saldonya,"['gabisa', 'di', 'pake', 'saldonya']","['gabisa', 'pake', 'saldo']"
Pekerjanya terlalu memaksa untuk download Pdhl ga niat sama sekali,"['pekerjanya', 'terlalu', 'memaksa', 'untuk', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']","['kerja', 'terlalu', 'paksa', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']"
"parah, mesen udh 1 jam lebih driver gk da yg datang, dan sering nya di tolak driver","['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'dan', 'sering', 'nya', 'di', 'tolak', 'driver']","['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'sering', 'nya', 'tolak', 'driver']"
"Driver tidak sopan, nunggu suka lamaaa!!!","['driver', 'tidak', 'sopan', 'nunggu', 'suka', 'lamaaa']","['driver', 'sopan', 'nunggu', 'suka', 'lamaaa']"
Tolong pihak maxim ditindak lanjuti saya tertipu soal pembayaran delivery🙏,"['tolong', 'pihak', 'maxim', 'ditindak', 'lanjuti', 'saya', 'tertipu', 'soal', 'pembayaran', 'delivery']","['pihak', 'maxim', 'tindak', 'lanjut', 'tipu', 'soal', 'bayar', 'delivery']"
"Daftarnya susah banget cuy kode otpnya gak dikirim2, 3 kali percobaan udah gak bisa lagi, buruk sangat","['daftarnya', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'dikirim', 'kali', 'percobaan', 'udah', 'gak', 'bisa', 'lagi', 'buruk', 'sangat']","['daftar', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'kirim', 'kali', 'coba', 'udah', 'gak', 'buruk', 'sangat']"
"Aku sudah top up kemarin tapi sampai besoknya tidak masuk ,dan saldo di rekeningku sudah terpotong","['aku', 'sudah', 'top', 'up', 'kemarin', 'tapi', 'sampai', 'besoknya', 'tidak', 'masuk', 'dan', 'saldo', 'di', 'rekeningku', 'sudah', 'terpotong']","['aku', 'top', 'up', 'kemarin', 'besok', 'masuk', 'saldo', 'rekening', 'potong']"
Minus bgt udh order malah di pilihin driver lain JERA unistal,"['minus', 'bgt', 'udh', 'order', 'malah', 'di', 'pilihin', 'driver', 'lain', 'jera', 'unistal']","['minus', 'bgt', 'udh', 'order', 'malah', 'pilihin', 'driver', 'jera', 'unistal']"
GK dapat kode otp,"['gk', 'dapat', 'kode', 'otp']","['gk', 'kode', 'otp']"
"Mau daftar aja susah. Minta kode, kode masuk saat waktu sdh slesai. 2x sya coba dan sperti itu lg. Dan coba ke panggilan, tiba diangkat lgsung dimatiin. Aneh juga ni apk. Batas 3x minta kode dan gk bsa"" kode nya. Berakhir nomor sdh gk bsa dipakai lg buat kirim kode atau daftar.","['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'saat', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'dan', 'sperti', 'itu', 'lg', 'dan', 'coba', 'ke', 'panggilan', 'tiba', 'diangkat', 'lgsung', 'dimatiin', 'aneh', 'juga', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'dan', 'gk', 'bsa', 'kode', 'nya', 'berakhir', 'nomor', 'sdh', 'gk', 'bsa', 'dipakai', 'lg', 'buat', 'kirim', 'kode', 'atau', 'daftar']","['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'sperti', 'lg', 'coba', 'panggil', 'tiba', 'angkat', 'lgsung', 'dimatiin', 'aneh', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'gk', 'bsa', 'kode', 'nya', 'akhir', 'nomor', 'sdh', 'gk', 'bsa', 'pakai', 'lg', 'buat', 'kirim', 'kode', 'daftar']"
