no_stopwords,stemmed_text
"['pihak', 'maxim', 'ditindak', 'lanjuti', 'tertipu', 'soal', 'pembayaran', 'delivery']","['pihak', 'maxim', 'tindak', 'lanjut', 'tipu', 'soal', 'bayar', 'delivery']"
"['daftarnya', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'dikirim', 'kali', 'percobaan', 'udah', 'gak', 'buruk', 'sangat']","['daftar', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'kirim', 'kali', 'coba', 'udah', 'gak', 'buruk', 'sangat']"
"['aku', 'top', 'up', 'kemarin', 'besoknya', 'masuk', 'saldo', 'rekeningku', 'terpotong']","['aku', 'top', 'up', 'kemarin', 'besok', 'masuk', 'saldo', 'rekening', 'potong']"
"['minus', 'bgt', 'udh', 'order', 'malah', 'pilihin', 'driver', 'jera', 'unistal']","['minus', 'bgt', 'udh', 'order', 'malah', 'pilihin', 'driver', 'jera', 'unistal']"
"['gk', 'kode', 'otp']","['gk', 'kode', 'otp']"
"['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'sperti', 'lg', 'coba', 'panggilan', 'tiba', 'diangkat', 'lgsung', 'dimatiin', 'aneh', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'gk', 'bsa', 'kode', 'nya', 'berakhir', 'nomor', 'sdh', 'gk', 'bsa', 'dipakai', 'lg', 'buat', 'kirim', 'kode', 'daftar']","['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'sperti', 'lg', 'coba', 'panggil', 'tiba', 'angkat', 'lgsung', 'dimatiin', 'aneh', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'gk', 'bsa', 'kode', 'nya', 'akhir', 'nomor', 'sdh', 'gk', 'bsa', 'pakai', 'lg', 'buat', 'kirim', 'kode', 'daftar']"
"['aplikasi', 'fenifu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']","['aplikasi', 'fenifu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']"
"['tarif', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'sulit', 'perjalanannya', 'pelaporan', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'alasan', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'penumpang', 'kalau', 'driver', 'ngaret', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semuanya', 'datang', 'padahal', 'ga', 'ganti', 'driver']","['tarif', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'sulit', 'jalan', 'lapor', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'alas', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'tumpang', 'kalau', 'driver', 'ngaret', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semua', 'datang', 'padahal', 'ga', 'ganti', 'driver']"
"['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'dikasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'tempat', 'yg', 'deket', 'aja', 'kasian', 'drivernya', 'jauh', 'pickup', 'penumpang', 'argonya', 'murah', 'jelek', 'lah', 'pokonya', 'aplikasi']","['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'kasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'tempat', 'yg', 'deket', 'aja', 'kasi', 'drivernya', 'jauh', 'pickup', 'tumpang', 'argonya', 'murah', 'jelek', 'lah', 'poko', 'aplikasi']"
"['kalo', 'customer', 'cancel', 'minta', 'ganti', 'driver', 'tolonglah', 'terima', 'bukannya', 'malah', 'kasih', 'orang', 'mulu']","['kalo', 'customer', 'cancel', 'minta', 'ganti', 'driver', 'tolong', 'terima', 'bukan', 'malah', 'kasih', 'orang', 'mulu']"
"['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'pake', 'scam', 'scam']","['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'pake', 'scam', 'scam']"
