content,processed_text
Saya menyukai iklan ini,"['suka', 'iklan']"
gak jelas... maxim ⭐,"['gak', 'jelas', 'maxim']"
"Setiap kali naik Maxim mesti kacau mobil di buka kenapa sih maksain bgt harga murah, harapan pake Maxim rambut rapi dan sejuk dingin malah acak2an","['kali', 'naik', 'maxim', 'mesti', 'kacau', 'mobil', 'buka', 'sih', 'maksain', 'bgt', 'harga', 'murah', 'harap', 'pake', 'maxim', 'rambut', 'rapi', 'sejuk', 'dingin', 'malah', 'acak']"
apk kocak ngisi kaspro berkali kali saldo sgtu gtu aja ga nambah giliran mo dipke gabisa saldo kepotong trs padahal ga kepake gimama sih,"['apk', 'kocak', 'ngisi', 'kaspro', 'kali', 'kali', 'saldo', 'sgtu', 'gtu', 'aja', 'ga', 'nambah', 'gilir', 'mo', 'dipke', 'gabisa', 'saldo', 'potong', 'trs', 'padahal', 'ga', 'kepake', 'gimama', 'sih']"
"Banyak customer massage yang meresahkan therapist, saya tdi bru sja dpt pesanan massage tapi customer tdk dapat di hubungi,setelah saya sampai hotel, padahal sebelum berangkat dia bilang akan di jemput di lobby karena hotel pake akses, sebelum berangkat saya juga minta no customer, tapi saya telfon di matikan, di WA ga di balas, padahal saya berangkat ngebut sedang hujan jg & hampir tabrakan dengan driver GO-JEK. Dulu saya jg pernah mengalami hal yg sama.app ini jg sering buat mainan para gay","['banyak', 'customer', 'massage', 'resah', 'therapist', 'tdi', 'bru', 'sja', 'dpt', 'pesan', 'massage', 'customer', 'tdk', 'hubungisetelah', 'sampai', 'hotel', 'padahal', 'berangkat', 'bilang', 'jemput', 'lobby', 'hotel', 'pake', 'akses', 'berangkat', 'juga', 'minta', 'no', 'customer', 'telfon', 'mati', 'di', 'wa', 'ga', 'di', 'balas', 'padahal', 'berangkat', 'ngebut', 'sedang', 'hujan', 'jg', 'hampir', 'tabrak', 'driver', 'gojek', 'dulu', 'saya', 'jg', 'pernah', 'alami', 'yg', 'samaapp', 'jg', 'sering', 'buat', 'main', 'gay']"
"bagus pelayanannya, ramah","['bagus', 'layan', 'ramah']"
duhh sabar banget pake aplikasi ini padahal pengguna setia maxim cuma layanan dari online sampe offline nya buruk banget,"['duhh', 'sabar', 'banget', 'pake', 'aplikasi', 'padahal', 'guna', 'setia', 'maxim', 'cuma', 'layan', 'online', 'sampe', 'offline', 'nya', 'buruk', 'banget']"
"kenapa pake kaspro sih, ada ovo gopay dan lainnya malah pke kaspro yg ga jelas itu liat aja ratingnya","['pake', 'kaspro', 'sih', 'ovo', 'gopay', 'lain', 'malah', 'pke', 'kaspro', 'yg', 'ga', 'jelas', 'liat', 'aja', 'ratingnya']"
Aku coba ribet ga,"['aku', 'coba', 'ribet', 'ga']"
Ini knp Maxim menghubungkan ke layanan aneh gak bisa masuk pas masuk ke aplikasi lain ke game lancar aja knp ini,"['knp', 'maxim', 'hubung', 'layan', 'aneh', 'gak', 'masuk', 'pas', 'masuk', 'aplikasi', 'ke', 'game', 'lancar', 'aja', 'knp']"
Wilaya cirebon timur tepatnya sindang laut banyak driver yang aktif tapi tidak mau menerima orderan dari sindang laut ke kendal astanajapura padahal urjen,"['wilaya', 'cirebon', 'timur', 'tepat', 'sindang', 'laut', 'banyak', 'driver', 'aktif', 'tidak', 'mau', 'terima', 'order', 'sindang', 'laut', 'kendal', 'astanajapura', 'padahal', 'urjen']"
"aplikasi ga jelas, dreafer nya pada sengaja di lambatin, di apk nya tulisan udah tiba pas di cek dreafer nya masih jauh, lebih mending grab atau gojek lebih aman walapun harga sedikit mahal","['aplikasi', 'ga', 'jelas', 'dreafer', 'nya', 'sengaja', 'lambatin', 'apk', 'nya', 'tulis', 'udah', 'tiba', 'pas', 'cek', 'dreafer', 'nya', 'jauh', 'lebih', 'mending', 'grab', 'gojek', 'lebih', 'aman', 'walapun', 'harga', 'sedikit', 'mahal']"
