Token,Frequency
terimakasih,161
kurang,142
akurat,40
guna,117
mudah,74
mahon,1
pa,8
gaje,3
ewallet,16
up,92
hedeh,1
tu,16
nakal,12
bgt,90
imbal,1
padhl,1
deket,19
nganter,12
barang,75
alesannya,3
kan,81
muter,23
dlu,13
mas,46
emg,7
gtu,7
klo,75
nganterin,5
mah,24
sendiri,77
jd,35
lipat,17
ny,53
seleksi,12
sering,149
lambat,38
kirim,97
bener,68
no,69
telp,11
sdh,37
sampe,80
terkadang,7
ditelp,1
cepat,186
nyaman,145
suoirnya,1
maximnya,17
kecewa,137
sekarang,64
pindah,19
ijo,15
si,62
belah,47
dapat,26
dri,28
perangkat,1
jangkau,20
hp,87
tinggal,35
dlm,10
mobil,182
hub,2
jaya,5
blokir,31
kuning,6
ugalan,22
jgn,20
dwonload,3
pake,197
walletmaxim,1
wallet,82
saldo,208
tp,102
gk,224
sungguh,6
aduh,3
gmana,3
inimsa,1
pesan,244
makan,133
loadinggak,1
bet,5
junaidi,1
plat,23
nomer,28
hyh,1
suruh,72
attitude,21
cewe,5
ngatain,4
nyupir,2
didatengin,2
marah,33
urus,6
nyaa,9
petaa,1
patok,6
peta,42
tambah,80
bingung,27
titika,1
diarahin,2
skrg,22
notifikasi,12
cuatomer,1
gj,2
gimna,7
alhasil,14
marahmarah,3
pdhal,10
sudh,2
tentu,14
nyasar,9
perhati,15
paling,36
nyusahin,13
driverkasian,1
tega,3
sm,19
carsdh,1
klik,20
jalantapi,1
ganti,60
smpai,3
x,52
rugi,94
bensinwaktu,1
mud,30
gooddriver,1
harge,1
indrivertapi,1
hanye,1
sahaje,1
susah,285
nak,4
driverkena,1
lameterimakasih,1
yee,1
maximvery,1
selesai,19
ngisi,22
kaspro,132
suka,131
muncul,52
pokoke,3
knp,15
nyantol,5
dibatalin,13
selamat,36
sosialisasi,5
scam,28
asu,2
luar,19
biasa,27
ssbenarnya,1
arti,5
promo,34
apaa,1
sihsy,1
mslh,3
dgn,36
cm,5
sesuaidiapliksi,1
da,6
otomatis,18
potong,71
taapi,1
byr,8
hrga,3
normaltolong,1
lg,38
cukup,23
kena,39
org,39
ba,2
berabe,1
percuma,21
ujung,14
dipakek,4
beda,66
biss,1
non,34
tunai,72
taxi,7
anyep,2
gegara,9
tumpang,99
lgi,20
eror,59
adriver,1
berhubunganminimal,1
bikin,90
prioritasujung,1
ktl,1
jan,3
cok,2
rata,12
masa,91
iya,20
ngk,11
datang,50
motor,82
apabila,2
erti,7
maxime,5
kemaren,5
apesss,1
hilang,25
handphone,2
lacak,7
supir,31
ngaku,1
yasudah,1
terlalu,56
paksa,18
download,44
pdhl,33
niat,35
semngat,1
twrus,1
bonus,12
dech,1
antar,75
telepon,14
lamban,1
ojek,49
bilang,49
nyalahin,4
bilangin,4
pribadi,11
sen,74
mepet,3
hak,5
atur,22
kapan,11
segala,10
aflikasi,1
kocak,14
kaga,15
kocakk,2
sampa,2
ngepasin,3
rb,118
tmbahan,1
krena,1
jarak,44
info,12
umur,3
hidup,6
pakek,9
lwbih,1
better,1
tips,7
y,10
jngan,1
d,90
target,1
gitu,43
kesanya,1
tadi,25
gopay,8
biaya,44
admin,28
api,1
cek,18
gamau,13
nambah,19
angkuh,2
emosi,18
sampah,21
dak,7
buka,69
batalin,37
makam,1
masalah,49
masak,12
hari,67
ngrefresh,1
sumpah,30
user,2
baiksangat,1
ramahsopan,4
nungguin,15
payah,35
wilayah,7
parepare,1
deliverynya,1
orderanmungkin,1
ongkos,56
yapadahal,1
jg,41
tingkat,30
ajar,15
mentang,4
sepelekantolong,1
eprbaiki,1
etika,10
hapus,21
playstore,2
gila,16
kagag,1
mnt,8
kapok,12
bandara,16
soekarno,2
hatta,1
mehong,1
byk,18
sanksi,4
mungkin,18
putus,6
mitra,31
kayak,37
ojol,44
tegas,7
gilir,25
tulisa,1
jumlah,10
lampau,9
notif,8
pemgemudi,1
aman,68
bego,8
sini,19
gabut,1
doang,28
knalpot,1
brong,1
stiker,4
modif,1
supirnya,20
paham,18
skrng,7
hati,52
muas,30
jam,109
kemudi,140
burikkkkkkkk,1
jaring,25
minuslambat,1
mana,75
lagisy,1
males,15
rada,2
soak,1
nemu,13
culas,3
naikin,14
duh,1
pengeurs,1
maxsim,18
tegasin,1
berkah,13
negur,1
loh,7
nyolot,6
ribut,9
mahalin,1
baapaknya,1
logout,6
gadikirim,1
atau,6
telpon,18
pertama,31
gunain,5
kata,78
aneh,73
laku,35
tetep,19
full,5
langsung,56
mo,6
cb,2
ngga,59
kek,24
edit,11
cekat,6
dpt,43
lngsng,3
wuuzzz,1
nyamle,1
bgus,5
pengenudinya,1
prioritas,11
soal,39
awal,57
make,16
kesini,11
mahal,64
ampe,13
km,17
apknya,12
santun,8
seblum,1
jga,9
foto,14
baikcuma,1
mesan,43
batal,100
kastamer,4
nyoba,9
simak,1
cakap,2
umum,7
area,17
bal,6
teman,9
alias,6
ras,4
hina,3
kalian,39
minus,5
developer,17
percaya,10
silah,1
balilihat,1
mes,24
rasa,19
adu,13
tindak,31
lanjut,19
tepat,62
kendara,53
tuh,32
busuk,13
kk,13
apps,2
internet,25
connection,1
worst,1
ever,1
sistemnyamasa,1
tarif,89
mengqadha,1
harganyakalau,1
sedikit,19
lambung,1
tinggi,14
ndk,1
alas,60
job,43
thank,6
u,3
sopandan,1
proses,10
laksana,15
dekat,50
lapor,20
sya,30
nyari,68
untung,31
sendri,3
dbayar,1
anterin,1
tempat,53
utk,21
tambahakan,1
costumer,14
support,3
keluh,19
burik,4
mapsnya,15
suram,1
daftar,80
aj,13
keburu,4
laper,2
gua,54
kg,5
ud,3
maki,10
sepele,3
anj,6
ajak,15
ngobrol,8
abang,39
okee,2
anjay,5
beres,5
sabar,28
macam,15
pepek,1
ngambil,18
gerak,9
menit,58
tak,36
ajg,2
plus,5
ketimbang,3
lain,14
delivery,27
posisi,17
terang,13
dg,19
senang,21
sekolah,22
garagara,3
usah,28
ngojek,5
pergi,18
ninggalin,1
dh,3
hampir,32
baru,109
apasih,2
jangancoba,1
pesanpijit,1
disinigara,1
pesanpijat,1
disinisya,1
rawat,2
dirs,1
nulis,2
apliksi,3
dikit,21
ko,14
minyak,1
penting,10
nian,1
dx,2
sengaja,17
ngasih,30
pontang,1
kerna,3
perotes,1
bobrok,5
ongkir,15
dr,33
sblmnya,1
unnistal,1
balik,15
berhatihatilah,1
bila,6
langgan,51
trbaik,1
parah,85
periksa,4
koneksi,6
kouta,2
kdang,1
pengantranya,1
evaluasi,5
keluarga,9
panjang,8
salam,3
kenal,4
puas,69
pokok,19
sumpahhhh,1
plisss,1
dering,2
ih,4
hapeku,1
nyala,5
batre,1
ku,20
kesel,21
ganggu,26
ramahbaik,3
bawah,8
ngaq,1
masukmasuk,2
pass,2
telor,3
gmna,10
ngorder,5
hancur,4
mu,10
kalok,3
gin,42
ngapain,4
ajatolong,1
anak,29
training,7
minimal,13
korban,5
pkoknya,1
sayaa,2
mesen,29
bpknta,1
sekaliterimakasih,1
ama,10
dalem,3
tas,3
sarung,1
hargane,1
jutaanhadeehhhudah,1
ngotot,5
lagi,4
supirne,1
kepake,5
maju,9
indonesia,13
kembang,9
tpi,32
masuktidak,1
voucher,10
tau,69
gmn,11
lot,17
bug,15
sinyal,11
baget,2
bersih,14
rapi,7
perfect,4
fast,3
slalu,14
alami,9
burukkkk,3
ngebatalin,3
gimanasaya,1
tibatiba,16
orderperbaiki,1
gi,1
deh,31
abal,8
nda,6
ad,27
sayamaxim,1
pilih,50
seksrang,1
samarinda,1
fiktif,27
lokasikarna,1
tanggung,18
jawan,1
gapernah,5
lenceng,1
beberapa,31
kemarin,16
malas,18
k,66
orglain,1
gatau,11
siapa,10
kabarin,1
sblm,3
otw,2
ak,2
komplen,4
ngmg,1
hhh,1
bye,3
bom,5
keranjang,2
skli,6
aplikasiga,1
live,2
service,8
senin,2
juli,4
e,23
penuh,34
keluar,43
alih,12
bagi,17
dana,19
kartu,2
buangbuang,1
kakak,6
rizkix,1
anggap,1
ngerjain,4
jempol,2
bina,3
aktif,22
suara,1
maupun,5
benerin,8
gx,5
ketemu,21
yah,24
bantuannyah,1
responnya,5
trimkasih,1
peyanan,1
cabul,6
nopol,44
gaff,1
anehsi,1
gbs,4
msk,6
pemberitahuan,9
stabil,3
pdahal,10
sosmed,2
data,21
adapaya,1
asik,10
bohong,10
jir,3
adminnya,4
seko,3
perak,6
galagi,1
trauma,12
dowload,3
grabgojek,7
orangnyacpat,1
sebal,4
doong,2
topup,16
kagak,9
trimakasi,2
kurir,19
bad,27
mantep,1
warga,1
simpan,2
maksa,8
kota,14
medan,7
sombong,21
patut,1
bicara,12
segi,8
cerita,8
knapa,4
mengunakan,5
dipranknunggu,1
nah,4
bsa,10
ongkirnya,5
gue,33
telah,1
oknum,20
keren,30
semangat,25
playanan,3
moh,1
alham,1
nur,1
motorcycle,27
warna,42
putih,13
ddxba,1
ramahtrim,1
moon,1
bincang,1
jaga,3
tatakramanya,1
saudara,2
perempuan,3
akibat,5
tanyatanya,1
pacar,8
dmn,2
lahdll,1
pokus,1
ngomong,6
wajar,6
bimbing,1
kaka,3
customerjngan,1
duit,29
perhatiin,1
raja,1
customerdriver,1
se,2
olah,1
chatnya,5
syahrani,1
toyota,6
avanza,6
hitam,11
dajv,1
hariandi,1
viky,1
firdaus,1
baif,1
nikmat,7
mantaap,3
very,7
nice,18
trima,20
ksih,6
bntuannya,1
entah,12
nemuin,3
koordinat,3
ditangerang,1
search,2
tangerang,2
depok,5
mb,1
diem,2
eh,37
nyaut,1
loginsaya,1
kasihmana,1
pulang,15
ken,8
cepetsampe,1
hadeuh,2
hadeuhhh,1
lagisaya,1
maximmau,1
donwload,1
kuota,7
burukkkkkkkk,1
porotin,1
melarat,1
ladenin,1
hnya,1
byar,3
cash,28
memghubungi,1
minat,1
blom,2
burukpemesann,1
sampai,4
devi,1
gusti,1
abg,7
masang,2
rubah,11
ulas,5
benerbener,1
cas,2
henti,4
tmpt,3
ada,20
bunyi,1
kt,2
ii,1
drevernya,2
jujur,32
ketingalan,1
orngnya,3
jelasmntak,1
tlpon,1
waktusmoga,1
sllu,9
sopir,34
galak,4
gtw,1
mantaptym,1
lokasiny,1
segera,22
hoaxxx,1
rbu,3
hdehhhh,1
to,2
car,50
transaksi,9
tq,3
sdah,2
online,28
sahabat,8
nominal,11
kecil,22
dulupeta,1
mapz,2
sagat,2
gede,8
woyyyyy,1
ngirit,1
jrg,1
kensel,2
fakyu,1
tera,17
ribu,47
perbaikisusah,1
bahaya,17
bodoh,8
direver,1
profesionalkalau,1
sikit,1
responpadahal,1
fee,3
jgk,1
lahgk,1
lgkalian,1
ni,31
jobs,4
bang,13
carger,1
opsi,12
spek,2
itel,1
p,1
nfc,1
ram,2
gb,3
ngak,14
brang,1
pulangin,1
mlh,4
komplain,10
kemna,1
yaa,22
susppen,1
tingkah,1
mengoder,1
kecuali,2
kdng,1
memberitahu,1
krna,22
mis,1
komunikasi,15
genit,2
gais,1
plis,4
denger,4
alam,25
temen,5
safety,3
tahan,6
bank,9
hadeh,7
topp,1
komennn,1
mna,2
tmpat,2
ngamuk,4
sip,4
smntara,1
blm,11
pintu,4
mhn,1
dprhtikan,1
siee,2
pakeeeee,2
ampun,19
dahh,1
curiga,3
ikbal,2
tandain,4
tangan,8
kosonghadi,1
sistem,52
costamer,1
bisa,10
rusak,16
dampar,1
cmn,7
padhal,4
ancam,7
ketus,3
ngerasa,2
sprti,4
jahat,3
ui,1
tarik,14
ux,1
cacat,4
layak,12
sarkas,1
pencet,8
tidaak,1
siap,16
tuduh,2
jahil,1
nipu,8
shop,3
pke,11
sakit,14
belikan,2
obat,2
log,26
in,24
tetap,54
bagaimana,17
servive,1
hasil,20
is,7
the,17
best,25
khusus,15
jelekburuktidak,1
akurattidak,1
mapburuk,1
sekalisupur,1
massnya,1
ramahh,2
telfon,6
dtk,1
terimaksih,3
berubahubah,1
transfaran,1
suah,1
raci,1
selau,1
deiver,1
gps,10
kacau,18
tino,1
ali,1
pecat,4
berhentikqn,1
syq,1
sbg,3
wah,4
skg,2
yahskg,1
banding,4
gocar,6
drive,7
ter,5
sigap,5
pm,1
auto,15
uninstall,22
akurasi,7
dalat,1
bs,15
hubung,27
batu,1
dateng,17
ghost,1
touch,1
pes,5
knpa,8
bekas,9
jakarta,5
langka,1
gajelas,24
kll,1
protes,3
ngangkut,1
bekerjasama,2
gausah,10
najis,6
kapoktakut,1
ugal,14
mikir,11
nyawa,2
laporin,1
tanggap,18
kenang,1
reting,3
drivermeminta,1
lebihatau,1
manfaat,14
komisi,2
xim,2
sengsara,4
nyamending,1
darah,3
kawan,1
work,2
it,7
argo,21
lapang,2
tip,12
balas,9
emang,36
engga,7
allah,5
jabbar,2
titenono,1
izin,6
swt,1
luncur,2
pangkal,3
pantas,6
amin,5
driper,3
guys,4
biasaa,1
pesnan,1
siy,1
belagu,3
pick,5
ancol,2
cileungsi,1
dket,1
bnyk,14
pelyanan,1
selaluaamiin,2
ungar,1
yaaaa,2
model,2
cancelnya,1
campreeet,1
kasihan,22
drivernyaaa,1
bodooooo,1
malesnnya,1
tolak,25
kait,4
nunggunya,3
jenuh,1
sii,1
uda,12
baguss,4
lamaa,2
bngtt,1
kalaw,1
bisaa,1
sihh,3
nentuin,4
alamatnyamapsnya,1
saku,1
brp,3
gprnh,1
nge,4
dev,3
grogol,1
utara,4
sedia,8
bogor,3
lol,5
mnding,3
selisih,5
usai,1
dtg,10
khususy,1
timika,2
sp,1
total,8
swiss,1
bell,1
lao,1
tujuanorderan,1
singgah,4
bentar,2
sk,1
kyak,3
profil,6
dikatain,2
hoax,5
gembel,1
wqgi,1
luarbiasa,1
nggk,5
nyuruh,4
kaki,6
yuris,1
gunawan,1
ab,1
sj,1
out,9
rute,35
buang,14
grand,1
lucky,1
plaza,1
senayan,1
harus,26
beer,1
garden,1
kiri,2
lurus,5
rutin,2
bulan,7
mogok,2
ramahcepat,3
abgnya,3
gacor,5
bg,11
mesum,3
whatsapp,7
darimana,1
privasi,1
jamin,4
baikdan,1
setir,1
arif,1
sultoni,1
f,1
fjk,1
aph,1
ketik,10
bayangin,2
fix,4
buntung,3
tuman,1
melulu,2
jing,3
worth,3
jajah,3
jual,23
atribut,10
bahkan,28
banyaklambat,1
laun,2
akab,1
permanen,2
bertahaplihatlah,1
sep,3
berfikiran,1
n,13
enjoy,1
nyesel,13
samsek,3
transfer,12
sana,9
cantum,7
haha,1
keong,1
lelet,16
wkwkwkwk,3
bapuk,2
bebek,2
bau,3
rokok,3
buset,4
payment,6
metode,6
nmr,5
tlpn,4
bnr,8
narik,8
narikaku,1
lok,3
gang,8
gaperna,1
gercep,7
aplg,1
kesana,3
butut,7
aq,4
sendal,3
lupa,3
swalow,1
kmbli,1
nggrutu,1
pk,3
jepit,1
pangasinan,1
parung,1
lawak,6
mls,1
rd,1
mangkel,1
termksh,1
riah,2
driveey,1
peethnkn,1
kak,12
soaly,1
desa,2
terbntu,2
adany,1
bntng,3
trmksh,1
orng,13
sngt,3
samping,3
hargay,1
kalang,2
miskin,2
tmksh,1
bpknya,2
jeput,1
langgar,6
begini,13
diupdate,5
realtime,2
debit,1
dicancel,7
batas,16
yagng,1
sam,1
saranin,3
penghuna,1
aplikator,10
binatang,3
sistemua,1
kiamat,2
bakal,14
kondisi,4
pantes,4
ngeluh,7
sepi,10
amuradul,1
gundul,1
tampil,9
seringkali,2
sadar,7
lalod,1
argonya,2
akal,7
etitud,2
tua,13
sopanin,1
sma,14
tegor,2
b,10
pzq,1
ribetnya,1
yang,1
berapa,21
les,1
this,2
nyagofood,1
hemat,8
lumayan,21
fungsi,4
sangatttttt,1
badd,1
keras,6
kalah,12
grabgojekshopefood,1
kaliiiii,1
hargaaaaa,1
tepok,1
pala,2
gaada,23
diapain,2
sandi,1
operator,4
anter,5
sumpahdrivernya,1
nyumpahin,1
musibah,1
abis,15
benci,2
walaupun,14
mampir,2
sebentar,3
toko,16
cuaca,1
teliti,6
jawab,28
bngt,20
genah,2
tawar,8
sekitar,4
cstmr,1
ky,4
poor,1
first,2
nyobain,2
opsional,1
kwatir,1
pasti,6
mertua,2
kosambi,1
kalideres,1
yatim,1
kristian,1
sandre,1
allorerung,1
biru,7
hijau,10
dpyd,1
kelam,1
kocakpas,1
kuatmacam,1
ini,3
hadehh,4
jos,2
ngacir,1
perdulibarang,1
belanja,11
bagasi,2
kuching,1
sarawakwaktu,1
turun,11
duduk,3
dalam,2
check,1
duli,2
milik,5
diadia,1
hotel,1
inap,1
really,1
lazy,1
dont,1
have,1
responsibilityso,1
anehh,4
malahh,1
panggil,11
hack,2
depan,24
gampang,10
kendaraanya,1
foodnya,1
per,3
drastis,1
konsisten,2
nongol,3
pelngan,1
bnyakan,1
draver,3
lbih,3
bik,2
tukang,8
korupsi,5
ngasi,1
digunain,5
anjg,2
bat,1
aduhh,1
bewan,1
epep,1
yok,1
ngeselin,2
profesional,14
sngat,10
asli,16
ditilep,1
rencana,3
bangetttt,1
baikkk,2
nyaaa,3
masyaallah,2
tenang,5
idam,1
bangettt,4
bayak,3
deteksi,10
banyakhabis,1
habishaduh,1
pusing,10
resto,3
biyar,1
teryata,1
bayr,1
meski,7
parkir,11
jang,1
ojolwarning,1
mehubungkan,1
gratis,13
staff,4
dipake,22
nontunai,12
coming,2
soon,3
hangus,4
minggu,14
sold,2
liat,23
platform,2
stock,2
elayananya,1
tujuansemangatt,1
masss,1
yaampun,1
susa,2
bangett,16
dibutuhin,1
banyakjazaakumullaahu,1
khoyron,1
ngebug,2
tukar,2
tombol,5
beban,3
bru,3
sangatt,4
sulitapalagi,1
kl,7
alamatsusah,1
dlitupun,1
dapatmsh,1
ngomongnya,2
toleransi,1
servis,1
orangx,1
rama,4
bukti,8
tf,16
email,7
lamaaa,3
ntah,4
asal,10
sayang,16
rp,16
ovo,1
nasihat,1
kesasar,4
tolok,1
tida,5
yaaparah,1
bca,3
lari,7
mobile,3
slnya,1
kompetitor,3
naro,1
kordinat,1
nye,3
nagih,2
jugatrims,1
helm,13
urgent,7
diri,19
drever,11
iming,3
gunakanterus,1
batalkanbikin,1
gregetalamat,1
gabisamasa,1
kudu,2
nyamperin,2
terbatusemoga,1
ketemuterus,1
nilai,7
sendirijelek,1
serta,4
rtrw,1
jalur,6
tanggerang,1
jaksel,2
menelfon,1
sangay,1
igin,1
boleh,1
mnta,6
ac,10
jendela,1
standar,2
orangy,1
masse,1
abng,5
ramahbawanya,1
pelan,4
nitikinnya,1
woy,6
an,13
naek,4
kulit,1
kacang,1
jas,5
teduh,1
tancap,1
basah,3
rekomendasi,6
mksih,3
termakasih,1
trimakasih,19
bertanggungjawab,3
akses,7
kenceng,3
wifi,6
teruk,1
arief,1
maulana,1
yusuf,1
cba,1
brpa,1
penipuann,1
dtng,1
wkwkww,1
dicansel,1
drivera,1
maksih,1
wewenang,1
bng,2
dimaxim,3
sebut,16
tgl,10
okt,2
psr,1
harjodaksino,1
alokasi,1
lihat,21
songong,3
kocag,1
dn,13
banya,1
tambal,2
ban,8
sarap,1
sekian,11
lwt,4
kira,12
boss,2
kudet,2
teknologi,1
mmg,3
complain,5
kantor,24
ntr,1
bli,1
selang,2
wangi,9
angka,4
empat,1
nabrak,3
kasiah,1
tembong,2
richeese,2
atoyilah,1
merah,10
adr,1
ikutin,1
delevery,1
lbh,4
manipulasi,2
antri,2
lampu,2
armada,3
ekonomis,1
taik,9
enggak,7
anjir,7
cakup,1
tbtb,5
ramahcepatringkaskas,1
padat,1
sopantidak,2
saing,14
kelas,5
apus,4
pandeglang,1
dapetin,2
trf,1
trllu,1
thanks,6
performa,2
perluwas,1
mensrjahtrakan,1
sok,12
fikir,1
budak,4
hahahaa,1
baikramah,4
belaguditolak,1
nga,7
hbs,3
pikir,10
pura,3
bocortolong,1
berhatihati,1
berkrendara,1
suaah,1
alamatt,1
rudettttt,1
mulut,4
adap,1
tungguin,4
betul,14
rumh,1
offline,5
yaudah,2
rampok,1
turunin,9
gelap,2
lecehin,1
harap,14
sisa,2
va,2
kog,2
kyk,8
japri,1
cancelpesan,1
bravo,1
and,2
maintenece,1
sibuk,4
goblog,1
teh,2
ngapa,2
ora,1
game,2
haduh,2
haduhh,1
pt,4
sito,1
makmur,1
hamilsemoga,1
salin,1
aamiin,2
pintar,2
bakti,1
diperbaikititik,1
salahselain,1
lgsampai,1
miskomunikasi,1
drivertp,1
ngertisaya,1
hatisaya,1
bohongin,3
tlng,4
muhammad,3
ridho,3
pratama,3
pcx,1
robby,1
rustamadji,1
mantaps,2
tamah,9
elek,1
segitu,10
doa,2
diskon,7
normal,5
ngepas,1
bagusin,1
verivikasi,4
maksimal,7
vermuk,6
bos,9
iseng,1
kumal,1
syakasi,1
list,5
premium,1
gpp,2
la,3
fasilitas,4
tetangga,8
untk,3
meningkatkn,1
kualitas,15
inovasi,1
babi,6
bro,1
baharu,6
ttik,2
bpk,6
manja,5
orederan,2
daud,1
mooduto,1
trike,1
dmabt,1
misal,4
sharelok,2
lamaaan,1
mengendarinya,1
gas,2
rem,4
tabrak,4
bentur,2
jok,2
keponakan,1
dasbor,1
perut,4
kanan,1
bpjy,1
tanjung,1
pinang,1
rekan,1
warung,6
jugak,3
kendala,12
rs,5
bbrp,4
lumayantapi,1
lagikita,1
klau,6
adatidak,1
simple,2
etik,2
copy,1
paste,2
alamatcopy,1
ketemutidak,1
riky,1
rikardo,1
hulu,1
walet,8
of,4
kemudian,6
cekcok,2
heran,7
miskom,1
sangka,1
anti,2
recomended,1
beneran,1
barusan,9
pungli,1
w,1
drtdi,1
truss,1
blok,7
verif,2
otpnya,5
ndak,3
dibenerin,3
unblok,1
na,4
flat,1
nkb,1
njemput,1
hitung,4
mutu,9
agas,1
pesasan,1
marketing,2
rame,5
bm,4
llj,1
adek,5
salut,2
dek,1
supri,1
woi,5
ye,1
iye,1
pd,1
mumet,1
ran,1
indomaret,4
alfamart,5
kedok,2
kamis,2
hey,1
stop,2
how,1
batamnews,1
are,1
looking,1
for,1
something,1
that,1
not,2
sad,1
ending,2
untuk,2
provider,1
nol,1
sangt,1
bangetkurir,1
takadang,1
akuratkurir,1
palembang,1
dibatasin,1
ngemap,1
doain,1
lulus,1
uji,2
gakbisa,3
kesal,2
brrmutu,1
menangin,1
kgak,1
genting,1
sesuaiselama,1
apaapan,1
senggol,11
plastik,8
lecet,3
penyok,3
ngaco,3
ofsifh,2
cabang,3
kluar,3
sportif,1
angsur,1
mkenceng,1
pematangsiantar,1
jelasnggak,1
tersediaserta,1
lapar,2
jelashabis,1
sangan,3
sigma,1
stenga,1
foodny,1
laksa,1
tamahsemoga,1
paksemangat,1
vocer,3
sejajar,1
dooonk,1
oka,1
god,1
ngerti,9
sbnrny,1
kyny,1
repot,11
nitikin,2
manual,6
slow,2
vertifikasi,2
dibalikpapan,1
pelayanannyasering,1
bgttttttt,1
yajadi,1
inisiap,1
gaji,3
om,9
kasihmantap,1
rmah,1
nyag,1
masuktiba,1
dompet,4
blokirrrrdasar,1
balikin,6
guaa,1
woyyyy,1
adakan,2
paymen,1
pda,6
drivwrnya,1
nyamenguji,1
hadap,2
bagai,2
karakter,1
orangthanks,1
ingin,3
peduliin,1
smoga,4
tge,1
berattitude,1
berhentiin,1
direspon,4
lgsg,5
leletmending,1
nerimaterus,1
bnget,3
lgiudh,1
stengah,2
join,1
kasprokaspronya,1
mahaltopup,1
masukakun,1
terkuncikenapa,1
tujuandrivernya,1
mamang,1
m,6
fadol,1
rzl,1
okay,4
macet,9
huuuuuuu,1
walletnya,6
familiar,1
baikk,5
slah,3
jmpol,1
kbawah,1
otpny,1
engk,1
marahin,5
smua,5
pengin,1
astaga,3
astagfirullah,1
elus,4
dada,2
t,2
fs,1
selektif,2
sekalisaya,1
masjid,2
mahabatullah,2
polda,1
jambi,3
bbrpa,2
burukk,2
sopanntdk,1
memlihin,1
sembarang,7
hariadi,1
