Token,Frequency
prima,1
sukses,26
otpnya,7
bisaaa,2
test,2
lagidehhh,1
mapsssudah,1
mwnit,1
nyasarpadahal,1
rinci,1
jugaa,2
dukung,3
palak,4
arogan,9
betulin,2
profil,5
gimna,10
tolong,6
jelasmntak,1
tlpon,1
orng,13
tasik,2
inisial,1
alex,1
anehh,5
malahh,1
panggil,10
hack,2
nda,5
sekalisenang,1
sedang,17
nyalahin,3
bilangin,4
pribadi,11
mepet,2
hak,1
atur,19
customer,71
ganggu,26
tipu,98
smp,3
ymik,1
ugal,16
ugalan,23
jg,40
sosialisasi,5
via,24
walletnya,7
bijak,3
edukasi,6
ttp,20
maksa,13
izin,7
sampai,5
keluh,24
mitra,31
it,12
update,50
mangkas,1
minimal,12
software,1
referensi,1
lihat,26
sebut,20
konfirmasi,22
ngerjain,4
ampe,13
kiamat,3
kondisi,9
sat,2
set,4
sngat,7
telepon,12
nyamandan,1
mantapp,2
ramahmenaik,1
flat,1
nkb,1
sejahtera,6
rasa,27
budak,4
instal,11
adil,3
manusiawi,3
balut,1
ojolharga,1
zalim,2
ridak,1
bbm,1
arti,7
tanggungjawab,1
biadab,1
informasi,3
minim,4
nmr,6
tlp,18
mas,56
psn,2
smpi,1
sdh,46
gopay,8
kl,12
mengunakan,6
drever,16
an,15
nerima,30
pliis,1
aktif,22
sinyal,8
kempatan,1
habis,27
sempat,4
siih,2
laah,1
knapa,6
aflikasi,2
usaha,21
dzalim,2
ente,6
dunia,2
sok,11
etah,1
siksa,2
neraka,1
kelak,1
ngerugiin,3
mikir,11
napa,5
dimatiin,2
ujuk,1
imbas,1
egois,2
kedzaliman,1
sembahyang,1
kerjane,1
matiin,3
rezeki,17
haram,7
gaji,2
cam,3
baikbaik,1
bm,6
vf,2
membantuharga,1
kantong,5
laindriver,1
profesional,14
diem,3
mlh,5
ko,16
acc,4
becus,7
buru,35
suami,4
tarif,94
parkir,15
warga,2
slalu,12
inipertama,1
nyoba,8
baguss,4
nemuin,2
disitupadahal,1
kalok,3
adatapi,1
gaadatolong,1
mula,3
fiturnya,8
inieh,1
berubahdah,1
pindah,19
usut,7
sumpah,37
saat,7
warung,9
solusi,17
bg,9
adg,1
nuker,2
padang,2
stevandra,1
dhovany,1
direfresh,1
anak,43
modus,3
dobel,5
loginaplikasi,1
msuk,8
rbaneh,1
mlssss,1
data,28
damping,1
seruu,1
knpa,7
ditungguin,4
bawak,8
offline,6
client,1
saling,7
nali,1
utama,22
double,6
halte,1
area,17
sedikit,19
trotoar,3
maksim,15
manusia,3
sepi,12
kator,1
focua,1
bertanggungjawab,4
sanksi,5
hingga,5
format,2
hpnya,2
masukin,27
emosi,18
sistemnyaagar,1
ujungujungnya,2
jelassemoga,1
dengar,5
maintenece,1
sibuk,4
goblog,1
teh,2
gangguannta,1
mese,1
telst,1
kemarin,20
sihhh,1
inidriver,1
gtu,15
sombongmendingan,1
aplikasj,1
cantum,8
kbnyakan,1
lbih,3
dbnding,1
ewallet,21
lapor,24
jawab,27
dri,27
kyk,9
gni,2
lenyap,2
tu,19
oknum,23
sumpahin,4
seret,1
ngentotttt,1
unintsal,1
otorisasi,4
suah,1
raci,1
selau,1
kenapaa,2
pdhal,13
knp,13
ongkospengemudi,1
kebut,4
dripda,1
disni,1
gajelas,33
penumpangtolong,1
iniudh,1
jantung,1
drive,8
dendam,3
sma,18
tahun,10
yng,1
temen,6
trnyta,1
cabul,10
tmn,6
susul,1
cekcok,2
pling,4
ngancem,3
pisau,2
tgn,1
kosong,7
lawan,4
diksih,1
sm,20
ss,2
ngajuin,1
anjg,1
jgn,26
kerjain,1
kya,7
amin,6
telp,15
terkadang,8
ditelp,1
barutp,1
bsa,14
truspdhl,1
trusujung,1
jumlah,11
dftrkan,1
lampau,15
batassangat,1
stenga,1
asikkk,1
bangett,19
seruuu,2
dalat,1
pdahal,10
mobildan,1
tarip,1
erry,1
arsyila,1
salut,2
kemudian,8
padhal,4
cb,2
keblock,1
ajak,18
ngobrol,8
nmor,1
oakai,1
tolak,23
deket,18
q,1
kunjung,2
info,14
virall,1
jalur,12
mukul,1
kecil,25
betul,12
rumh,1
yaudah,3
rampok,1
gelap,2
lecehin,1
cewe,6
harap,14
segi,10
khususy,1
timika,2
sp,1
total,9
swiss,1
bell,1
lao,1
hampir,40
kereta,9
jadwal,2
tiket,2
semat,1
bhwa,1
itu,4
lari,11
orgx,1
sayamaxim,1
seksrang,1
samarinda,1
digunain,3
akuuuu,1
byar,2
memghubungi,1
siapa,10
bingung,34
rama,7
hello,1
owner,2
brangasanbad,1
attitudekasar,1
playing,1
victim,1
hardi,1
ngerekam,1
segalaaagaya,1
lu,31
tooong,1
hotel,3
anupas,1
elu,1
turun,13
gueada,1
nyerocos,1
gilasongong,1
rekeninsangat,1
pandu,1
telpon,23
hantar,4
sekolah,29
call,6
hadeeeh,1
nrima,1
comfirm,1
ngilang,3
food,50
perlu,25
kembang,10
buruh,1
dana,34
kalah,12
detik,3
perhati,18
sprti,4
driveryg,2
nakal,12
trimksi,1
abaang,1
demm,1
mnggil,1
stok,1
obt,1
alhmdulillah,2
nolongin,1
notif,8
mapsnya,16
disalahain,1
kerjasamanya,2
dng,1
bank,13
elektronik,2
mlumelalu,1
kerjasama,4
orderanjika,1
pelayananya,5
dinaikin,6
enggak,6
gobox,1
nyesal,3
manaja,1
jenis,8
manja,6
tk,2
kencang,1
lampuu,1
saranin,1
nyesel,16
avanza,4
veloz,1
yamohon,1
diimingi,1
dbest,1
hijau,12
kek,32
kuning,4
wkwkwkwk,3
kedok,2
over,2
dn,18
alih,16
transformasi,1
ramahsopandan,1
bodoh,16
letak,2
orqng,1
awan,1
mnyulit,1
cashpro,6
sedia,10
bulat,1
lgi,20
disurhh,1
hububgi,1
kontak,6
ramahh,1
smpai,4
jwab,1
skali,4
sigap,4
markotop,1
kacau,21
asuransi,3
kecelakaanya,1
aaplikator,1
hancur,7
customernya,1
ntu,1
liat,29
racun,1
kecubung,1
kejar,2
dc,1
nunggak,1
cicil,1
marahmarah,1
sudh,3
nyasar,8
sts,1
ratting,1
tolerir,1
singgung,1
kapok,15
sllu,8
finally,1
uninstal,16
masalah,48
mb,1
ngamuk,4
sedih,3
bagusss,2
ramahsangat,2
terimaksih,4
terecord,1
ng,3
konsumen,35
calon,2
min,36
lagiiii,1
semangattt,1
maximudah,1
tasiktolong,1
sampa,3
pergi,18
ka,2
sintya,1
bgus,4
pengenudinya,1
mksh,6
tibatiba,21
ngechat,6
sya,42
sendiriini,1
bagaimanatolong,1
tombol,6
pesanandan,1
serta,7
mes,29
bolak,4
jelaaaaaaas,1
selaku,2
asa,5
cape,4
nguli,1
deposit,1
besar,15
kedriverklu,1
pkai,3
frivikasi,1
wajahsupaya,1
mumet,1
thnk,1
you,3
yaa,24
diri,27
kelamin,2
tgl,9
lahir,11
email,8
tanggal,12
bonus,13
cacat,7
nd,1
dompat,1
chatnya,6
balas,12
abng,5
ketimbang,3
minus,6
terang,10
ngrhabisin,1
thu,1
sendiribeneran,1
oc,1
bpak,1
carger,1
siap,15
launching,1
hitung,6
gagal,17
goridenya,1
smga,2
masang,2
benerin,8
sistemua,1
mhon,1
mnambahkn,1
comfort,1
bike,10
sperti,3
l,4
memudahkn,1
tubuh,1
bar,2
sulitapalagi,1
alamatsusah,1
hrs,8
dlitupun,1
dapatmsh,1
mantaporder,1
agus,3
herdiana,1
zkn,1
and,7
handling,1
fee,4
tlong,5
diperbaikin,4
mintak,5
konsekwen,1
orgnya,4
mah,22
alam,30
gaenak,1
efek,3
rahmah,1
dapay,1
giat,2
ngilangin,1
santai,3
daerah,23
sukabumi,2
bnyak,11
kasus,7
delive,2
maling,5
mnding,3
abal,10
gada,25
jln,13
lebi,2
taufik,1
hidayat,1
suru,6
tf,21
balik,20
nominal,13
pakkkk,1
blg,3
tolongg,1
pihakkkk,1
b,15
pne,1
waw,1
sukatpi,1
bnr,8
membingungkansulit,1
oprasikan,1
andai,1
mengoprasikanya,1
grabdi,1
bahasa,5
ingrisnya,1
darapasti,1
permanen,1
menggunakannyatolonk,1
laju,2
temu,24
penumpangini,1
aejak,1
kesasar,4
ngikut,1
dimaxim,3
ojoll,1
ajing,2
nye,2
nitikin,2
manual,5
monyet,1
nhie,1
sussah,1
mtr,1
pikir,9
aplkasi,1
gausah,8
kslo,1
haris,1
rua,1
tifsk,1
lirim,1
gal,1
afs,1
atsu,1
senin,2
juli,4
kartu,1
buangbuang,1
promo,38
selak,1
cepatkurir,1
taikan,1
ngabisin,1
bensin,18
bet,11
tunjukkin,1
kost,1
cma,2
capeee,2
apps,2
connection,1
worst,1
ever,1
muterbensin,1
buang,15
siayg,1
akal,5
ngebuat,1
paket,19
bagaimana,20
a,5
bisa,10
hapuuus,1
tulisa,1
lainn,1
celaka,5
tegur,7
btrd,1
honda,1
beat,1
milik,6
masyarakat,5
ruteternyata,1
argoku,1
foodnya,1
titil,1
berbedabikin,1
bigung,1
sja,1
ngaku,4
terzolimi,1
pajak,2
ceo,1
rodi,2
jaman,2
belanda,2
resiko,3
awat,2
oli,1
ban,10
bocor,7
rusa,2
cekik,2
hagra,1
peres,1
kering,1
